ID,Intercept,umol.L.sec,Temp.C
Vmel7_32C,172.2115428,-0.014749882,32.06638333
Vmel7_34C,165.8864328,-0.013045304,33.49879032
Vmel7_36C,155.8152047,-0.013455049,35.94720339
Vmel7_40C,130.2194118,-0.017497468,39.77556716
Vmel8_20C,233.4801432,-0.010465721,20.26891667
Vmel8_24C,214.9428013,-0.018697364,24.08693103
Vmel8_26C,209.5552608,-0.021503087,25.79072131
Vmel8_28C,193.7658926,-0.013697305,27.64246552
Vmel8_30C,193.6052685,-0.013592479,29.25925676
Vmel8_32C,180.715336,-0.015882126,31.83635593
Vmel8_34C,172.6934869,-0.014706094,33.46606452
Vmel8_36C,165.7144956,-0.026578035,35.77467797
Vmel8_40C,139.4135857,-0.019925045,39.56477612
Vmel9_20C,282.7194607,-0.01239458,20.30715
Vmel9_24C,258.4584549,-0.013546391,24.22194737
Vmel9_26C,252.8371295,-0.012664911,25.80819672
Vmel9_28C,241.1010137,-0.014911986,27.72198276
Vmel9_30C,238.6709798,-0.017196001,29.19585135
Vmel9_32C,227.1171149,-0.020188642,31.77828
Vmel9_34C,212.1891711,-0.019597649,33.50493548
Vmel9_36C,197.6501849,-0.023892175,35.80418333
Vmel9_40C,168.6899974,-0.028083891,39.64116418
W1_16C,174.0629488,-0.012703428,16.15015686
W1_20C,179.5167096,-0.027841558,20.16014773
W1_22C,224.4357142,-0.021051601,22.15801852
W1_24C,215.7077217,-0.039914958,24.12107692
W1_26C,209.5128557,-0.053584021,26.21686364
W1_28C   ,202.213382,-0.060381595,28.00707317
W1_30C,181.1189995,-0.056335918,29.98428333
W1_32C,177.8077261,-0.068904564,32.0105625
W1_34C,169.3368568,-0.039922981,33.96644828
W1_36C,154.1589546,-0.021110898,35.95601695
W1_39C,135.8838492,-0.02199828,38.82312903
W1_42C,123.990036,-0.021819812,41.61677465
W3_16C,208.9001127,-0.014576364,16.01483333
W3_20C,196.4778261,-0.026964175,20.20780952
W3_22C,230.6970082,-0.006478155,22.14583117
W3_24C,196.3843378,-0.00537141,24.10555385
W3_26C,201.715157,-0.011714512,26.25398246
W3_28C,182.0162016,-0.020344433,28.00425532
W3_30C,179.1392527,-0.052550513,29.9479
W3_32C,159.081763,-0.044637015,32.03145283
W3_34C,147.1078898,-0.03365327,33.98606897
W3_36C,144.6655164,-0.014986772,35.90661905
W3_39C,130.1028875,-0.015942321,38.80706061
W3_42C,119.4012305,-0.01632183,41.66324286
W5_16C,211.5688842,-0.006375648,15.98566265
W5_20C,201.4753184,-0.01146258,20.23317778
W5_22C,266.0625229,-0.035892476,22.20868919
W5_24C,238.3115378,-0.065286496,24.154275
W5_26C,221.5986279,-0.060594673,26.28174194
W5_28C,202.4957773,-0.039480236,28.00870588
W5_30C,201.1456724,-0.044893712,29.90551667
W5_32C,159.2890367,-0.053161667,32.06727586
W5_34C,189.2128056,-0.042121685,33.82577586
W5_36C,172.7895366,-0.014924629,35.94654386
W5_39C,151.8905933,-0.007666355,38.914
W5_42C,139.4786873,-0.015432933,41.74314286
W6_20C,204.9878635,-0.017601901,20.215625
W6_22C,246.5771449,-0.022151351,22.22129487
W6_24C,244.4654769,-0.021211421,24.15143137
W6_26C,236.5850945,-0.008131479,26.17580435
W6_28C,208.0630877,-0.029096323,28.0616
W6_30C,184.002471,-0.03933424,30.03108333
W6_32C,165.7370826,-0.037607777,32.083
W6_34C,162.5775238,-0.021247304,34.03622807
W6_36C,163.9464593,-0.011862657,36.16209836
W6_39C,146.0509436,-0.014155973,38.97116667
W6_42C,122.2568346,-0.004677718,41.96163492
W8_16C,176.810904,-0.009654,16.12269231
W8_20C,172.1291933,-0.020643754,22.62184091
W8_22C,218.2298321,-0.010684614,22.13009524
W8_24C,203.916658,-0.042686437,23.99804878
W8_26C,195.8975197,-0.008344377,26.14529787
W8_28C,180.269324,-0.016382194,28.028
W8_30C,173.1657864,-0.07750493,30.00303509
W8_32C,160.9094248,-0.006895022,32.23271233
W8_34C,156.2029819,-0.121917339,33.98582456
W8_36C,135.4428601,-0.01570892,35.94985484
W8_39C,113.5528987,-0.008287849,38.87207692
W8_42C,103.9791173,-0.003880257,41.78357143
Hcumingi_16C_1_O2,129.1544475,-0.028278927,16.35382222
Hcumingi_16C_3_O2,180.0703059,-0.1648594,16.36512667
Hcumingi_16C_5_O2,220.8001115,-0.142683529,16.47210345
Hcumingi_16C_6_O2,233.1364469,-0.150845162,16.44363687
Hcumingi_16C_8_O2,247.4386904,-0.127761931,16.35265169
Hcumingi_18C_1_O2,217.3199276,-0.017569187,18.64287333
Hcumingi_18C_3_O2,199.3790332,-0.303290801,18.50065278
Hcumingi_18C_5_O2,238.9867743,-0.039683851,18.54766216
Hcumingi_18C_6_O2,284.1304762,-0.186734477,18.73208108
Hcumingi_18C_8_O2,210.9602654,-0.010614164,18.51889116
Hcumingi_20C_1_O2,240.7566676,-0.36132603,20.77586842
Hcumingi_20C_3_O2,210.0061595,-0.02961337,20.84556364
Hcumingi_20C_5_O2,253.6453748,-0.062167818,20.94979394
Hcumingi_20C_6_O2,104.0892265,-0.09245428,20.77597872
Hcumingi_20C_8_O2,148.9318893,-0.041299831,20.83159524
Hcumingi_22C_1_O2,208.4312653,-0.033801337,22.54411852
Hcumingi_22C_3_O2,208.5912446,-0.0092581,22.55016176
Hcumingi_22C_5_O2,235.2710739,-0.066964748,22.6318
Hcumingi_22C_6_O2,239.9288978,-0.035801666,22.61354887
Hcumingi_22C_8_O2,200.1420928,-0.081268115,22.543
Hcumingi_24C_1_O2,199.1829449,-0.029374576,24.34431818
Hcumingi_24C_3_O2,203.5186048,-0.011597833,24.42013636
Hcumingi_24C_5_O2,237.3489439,-0.0913846,24.51763636
Hcumingi_24C_6_O2,183.3488716,-0.219429036,24.43325225
Hcumingi_24C_8_O2,156.235756,-0.049786519,24.39998305
Hcumingi_26C_1_O2,195.9415867,-0.040385285,26.09351724
Hcumingi_26C_3_O2,196.8007902,-0.013401817,26.0832
Hcumingi_26C_5_O2,223.5323114,-0.089126419,26.18730345
Hcumingi_26C_6_O2,229.4859819,-0.026935095,26.18029655
Hcumingi_26C_8_O2,173.7594233,-0.098148583,26.04581379
Hcumingi_28C_1_O2,185.501704,-0.03643034,28.0462953
Hcumingi_28C_3_O2,186.8203041,-0.026477657,28.07156376
Hcumingi_28C_5_O2,208.4709754,-0.094015485,28.11828188
Hcumingi_28C_6_O2,218.9010932,-0.014482673,28.14789189
Hcumingi_28C_8_O2,158.409657,-0.074549763,28.04215541
Hcumingi_30C_1_O2,176.9964215,-0.043849068,30.02308029
Hcumingi_30C_3_O2,165.843733,-0.014447845,29.96105109
Hcumingi_30C_5_O2,209.6399761,-0.015937482,30.09077206
Hcumingi_30C_6_O2,208.6017519,-0.024415652,30.05681752
Hcumingi_30C_8_O2,115.6631927,-0.290629091,29.941
Hcumingi_32C_1_O2,171.104164,-0.066689473,32.13676923
Hcumingi_32C_3_O2,145.8052412,-0.032348814,32.06000699
Hcumingi_32C_5_O2,180.0995507,-0.095150681,32.15581308
Hcumingi_32C_6_O2,184.5268126,-0.02741223,32.12843885
Hcumingi_32C_8_O2,137.5065187,-0.093404225,32.04447101
Hcumingi_34C_1_O2,141.084832,-0.041349001,34.04826812
Hcumingi_34C_3_O2,142.6413105,-0.011617559,34.00039855
Hcumingi_34C_5_O2,158.2259606,-0.085289254,34.07139416
Hcumingi_34C_6_O2,183.016912,-0.037256328,34.05407299
Hcumingi_34C_8_O2,102.074368,-0.091616614,33.97560465
Hcumingi_36C_1_O2,127.0072171,-0.043297011,35.89698667
Hcumingi_36C_3_O2,128.2255379,-0.043967075,35.83410667
Hcumingi_36C_5_O2,141.6799769,-0.066498054,35.93558
Hcumingi_36C_6_O2,178.6591737,-0.192108884,35.92834286
Hcumingi_36C_8_O2,106.2438094,-0.067893769,35.82460952
Hcumingi_39C_1_O2,110.8088668,-0.029015508,38.89543506
Hcumingi_39C_3_O2,112.3649201,-0.016911354,38.82222727
Hcumingi_39C_5_O2,129.8446486,-0.042224284,38.89108442
Hcumingi_39C_6_O2,132.9943986,-0.060249197,38.98638961
Hcumingi_39C_8_O2,103.5556995,-0.050449842,38.72294771
Hcumingi_41C_1_O2,100.860236,-0.029613031,41.00750676
Hcumingi_41C_3_O2,96.62821504,-0.027915818,41.10524324
Hcumingi_41C_5_O2,118.768981,-0.053272093,41.32012838
Hcumingi_41C_6_O2,138.5967517,-0.114994757,41.03587075
Hcumingi_41C_8_O2,84.95923865,-0.026022104,41.14543151
